feature0,feature1,feature2,feature3,feature4,output
0.4004,23.99,-1.030,669.29,4.541,1
0.7108,23.25,-1.918,452.14,0.901,1
0.4503,15.63,-1.407,454.18,4.105,1
0.3553,40.92,-1.906,141.96,3.173,0
0.8512,11.58,-1.840,202.93,0.758,0
0.1999,34.16,-1.522,126.75,3.956,0
0.8992,17.33,-1.405,152.36,4.312,0
0.3926,40.73,-1.545,237.06,0.572,1
0.7041,6.83,-1.207,304.88,3.578,1
0.4315,22.40,-1.105,14465.00,0.822,1
0.7794,11.75,-1.537,114.75,0.269,0
0.8565,41.73,-1.260,274.33,4.155,1
0.0092,5.70,-1.721,3401.66,2.325,1
0.0673,38.50,-1.041,220.58,1.810,1
0.1903,34.06,-1.585,106.95,1.305,0
0.1870,27.19,-1.947,161.31,1.166,0
0.2931,28.69,-1.031,2876.70,1.323,1
0.3001,39.18,-1.743,107.13,2.948,0
0.1467,38.47,-1.904,125.33,0.536,0
0.5632,5.07,-1.273,100.01,3.092,0
0.2567,25.71,-1.829,141.04,0.855,0
0.1688,8.07,-1.385,214.26,1.885,1
0.7620,23.17,-1.926,102.14,4.998,0
0.1510,34.83,-1.153,106.81,4.572,0
0.2287,8.71,-1.160,1059.15,4.006,1
0.6158,29.96,-1.010,109.36,0.325,0
0.6989,35.07,-1.223,120.72,4.552,0
0.4172,23.97,-1.696,137.47,3.818,0
0.5500,30.01,-1.345,159.83,1.829,0
0.1721,5.45,-1.787,187.96,3.483,0
0.6791,13.31,-1.756,228.64,1.259,1
0.0936,6.55,-1.925,110.95,1.566,0
0.9871,8.22,-1.853,158.54,4.967,0
0.5595,17.43,-1.407,379.59,3.893,1
0.2783,20.22,-1.703,153.30,1.663,0
0.9158,23.01,-1.956,388.54,0.618,1
0.4772,40.19,-1.811,140.11,2.007,0
0.4259,2.05,-1.847,110.35,1.380,0
0.4545,3.30,-1.862,1684.82,4.154,1
0.8298,16.11,-1.128,432.96,3.222,1
0.9932,39.98,-1.343,108.63,3.321,0
0.8947,27.04,-1.880,267.58,3.195,1
0.2589,41.65,-1.848,388.44,2.154,1
0.9651,15.60,-1.860,171.83,3.926,0
0.0828,33.31,-1.695,107.93,4.121,0
0.6000,19.24,-1.874,645.00,3.092,1
0.9586,40.08,-1.321,470.09,1.400,1
0.3056,20.13,-1.774,1904.23,1.008,1
0.6835,10.67,-1.048,284.45,1.751,1
0.4064,36.77,-1.540,137.07,0.597,0
0.3665,24.70,-1.141,100.33,0.965,0
0.6531,0.02,-1.858,178.38,0.299,0
0.1462,18.76,-1.149,141.02,4.996,0
0.0652,38.12,-1.357,744.40,1.863,1
0.5175,37.97,-1.817,133.31,3.036,0
0.1770,23.86,-1.109,142.60,1.015,0
0.0079,6.99,-1.248,234.75,2.342,1
0.6464,41.53,-1.480,1006.37,1.249,1
0.9543,26.42,-1.715,348.38,0.638,1
0.5711,39.03,-1.297,123.22,4.188,0
0.9479,11.16,-1.479,120.43,1.644,0
0.7066,36.47,-1.937,592.66,3.219,1
0.7976,19.40,-1.375,282.54,0.644,1
0.5938,34.90,-1.081,160.57,0.464,0
0.5324,11.87,-1.670,133913.44,0.644,1
0.7985,7.90,-1.931,14951.90,2.246,1
0.4579,26.50,-1.846,512.74,1.472,1
0.5630,28.32,-1.853,175.15,0.271,0
0.8098,41.29,-1.608,112.17,1.144,0
0.1098,17.82,-1.999,153.40,4.147,0
0.3234,39.57,-1.259,135.49,0.745,0
0.1949,29.38,-1.216,603.45,0.873,1
0.5504,38.15,-1.090,485.08,4.377,1
0.7337,9.38,-1.751,120.85,0.673,0
0.0011,34.92,-1.859,242.67,3.132,1
0.0295,13.73,-1.065,233.48,1.371,1
0.9439,21.30,-1.560,1282.20,1.352,1
0.3118,34.08,-1.747,185.10,0.257,0
0.7277,34.15,-1.469,297.85,2.241,1
0.5685,39.84,-1.737,332.84,3.538,1
0.8648,39.15,-1.889,136.21,4.466,0
0.5684,2.97,-1.004,902.29,1.518,1
0.3763,4.56,-1.781,267.23,3.194,1
0.1690,37.61,-1.669,1004.77,3.228,1
0.3946,5.31,-1.745,103.13,0.736,0
0.5592,3.83,-1.401,216.06,2.498,1
0.0800,7.43,-1.078,284.24,3.999,1
0.6791,22.23,-1.465,182.22,4.229,0
0.1500,16.56,-1.200,228.42,2.324,1
0.2941,20.20,-1.106,102.94,2.647,0
0.8714,13.50,-1.843,188.82,4.367,0
0.7814,17.06,-1.152,154.52,3.640,0
0.1102,10.64,-1.564,209.74,1.902,1
0.7634,20.62,-1.869,237.92,1.247,1
0.8922,23.15,-1.352,323.42,4.960,1
0.0184,10.27,-1.828,151.55,0.221,0
0.0540,0.04,-1.041,230.95,3.559,1
0.2942,2.46,-1.811,153.74,0.293,0
0.6661,16.38,-1.654,12176.94,3.382,1
0.5149,41.55,-1.721,123.74,4.753,0
0.4286,3.69,-1.618,457.55,4.594,1
0.5958,8.30,-1.028,338.62,1.882,1
0.6492,16.33,-1.387,213.88,0.369,1
0.4811,25.76,-1.020,122.38,4.090,0
0.4510,3.97,-1.609,691.80,4.541,1
0.8147,32.75,-1.002,168.40,4.777,0
0.7705,28.57,-1.661,507.39,0.786,1
0.6857,17.66,-1.611,295.03,3.507,1
0.5124,34.84,-1.552,110.00,0.233,0
0.4125,26.87,-1.478,154.48,2.143,0
0.9608,1.37,-1.708,134.45,3.997,0
0.2212,21.86,-1.128,242.66,4.884,1
0.5051,34.76,-1.610,101.31,4.485,0
0.7045,4.59,-1.061,155.25,2.415,0
0.7279,21.51,-1.202,102.52,2.120,0
0.0467,35.32,-1.422,185.50,1.516,0
0.5174,13.33,-1.297,175.85,1.290,0
0.4525,22.81,-1.390,194.51,2.879,0
0.6839,1.73,-1.069,7875.05,2.472,1
0.9927,21.01,-1.788,149.33,3.589,0
0.4541,23.08,-1.303,160.54,1.996,0
0.9929,5.41,-1.292,513.01,0.814,1
0.5553,35.81,-1.275,163.00,2.242,0
0.1378,26.44,-1.914,276.31,1.901,1
0.5325,9.46,-1.255,159.67,0.041,0
0.9980,12.43,-1.828,518.01,0.008,1
0.6121,3.43,-1.390,109.02,4.074,0
0.7273,31.58,-1.669,151.56,1.016,0
0.2746,27.57,-1.643,101.20,1.240,0
0.1191,14.01,-1.666,247.18,1.013,1
0.6443,21.70,-1.844,169.91,0.748,0
0.0930,27.24,-1.450,129.19,1.835,0
0.5726,8.09,-1.688,435.74,2.510,1
0.4402,17.03,-1.648,445.64,1.775,1
0.5801,34.75,-1.575,176.42,0.615,0
0.3544,9.82,-1.853,207.50,2.523,1
0.6379,17.20,-1.678,189.37,4.171,0
0.8819,0.46,-1.855,122.36,1.187,0
0.5937,18.33,-1.268,121.52,2.774,0
0.0361,14.08,-1.013,366.72,0.842,1
0.1625,21.79,-1.356,304.70,4.650,1
0.4414,3.63,-1.871,2017.22,1.632,1
0.0812,23.31,-1.649,132.82,2.258,0
0.1166,18.28,-1.912,152.54,0.193,0
0.8177,20.01,-1.108,299.79,1.489,1
0.4243,15.00,-1.328,101.10,2.858,0
0.1983,34.41,-1.212,1033.34,0.619,1
0.4425,15.35,-1.486,138.57,1.092,0
0.2955,12.69,-1.161,286.43,4.057,1
0.6346,10.98,-1.120,1494.04,3.335,1
0.7454,15.89,-1.458,178.42,1.403,0
0.8849,28.22,-1.249,25443.70,4.386,1
0.4583,8.28,-1.660,833.01,1.250,1
0.8211,31.36,-1.997,103.43,1.828,0
0.0655,10.86,-1.111,156.07,2.970,0
0.0958,35.99,-1.625,109.20,2.236,0
0.8021,6.20,-1.343,189.78,1.776,0
0.5521,21.50,-1.527,1733.55,1.074,1
0.2745,13.27,-1.861,198.09,2.982,0
0.2271,0.17,-1.000,177.16,2.792,0
0.3653,34.95,-1.667,416.89,0.317,1
0.0840,34.04,-1.641,139.54,2.287,0
0.5823,4.84,-1.040,620.38,4.687,1
0.5193,14.16,-1.912,187.21,4.527,0
0.4143,34.80,-1.493,479.76,4.996,1
0.7248,32.04,-1.193,488.55,3.741,1
0.6847,26.40,-1.167,174.92,4.801,0
0.2341,5.20,-1.571,320.37,1.386,1
0.7273,12.28,-1.025,587.93,0.063,1
0.6524,9.90,-1.140,117.53,3.805,0
0.2055,30.87,-1.566,124.55,1.405,0
0.0104,39.93,-1.222,254.98,0.276,1
0.0602,22.11,-1.413,143.54,2.684,0
0.1429,30.96,-1.110,565.93,3.634,1
0.9505,5.04,-1.248,126.48,2.769,0
0.3567,34.05,-1.603,136.90,2.937,0
0.4297,4.53,-1.404,599.83,4.008,1
0.6854,18.79,-1.226,398.84,2.165,1
0.2986,13.43,-1.938,124.62,4.428,0
0.6562,26.26,-1.979,654.42,4.880,1
0.1746,22.21,-1.611,221.88,2.457,1
0.5205,19.55,-1.136,122776.21,1.218,1
0.4016,14.47,-1.571,454.75,2.149,1
0.7587,33.67,-1.933,194.05,4.947,1
0.3706,26.84,-1.394,3708.81,1.316,1
0.7209,24.29,-1.279,231.71,1.245,1
0.9866,21.69,-1.695,119.47,2.666,0
0.9614,7.11,-1.247,110.28,4.966,0
0.0602,21.65,-1.935,141.22,3.248,0
0.0547,16.15,-1.407,143.75,3.745,0
0.4671,38.17,-1.095,211.96,2.170,1
0.9378,7.32,-1.857,105.62,0.187,0
0.9387,32.86,-1.966,662.88,1.331,1
0.5201,16.54,-1.393,133.41,4.404,0
0.7520,1.83,-1.528,311.26,4.591,1
0.9649,22.16,-1.933,354.12,2.408,1
0.5848,34.06,-1.652,118.17,4.565,0
0.6204,34.12,-1.314,112.60,1.827,0
0.6166,13.11,-1.747,633.89,2.642,1
0.6206,24.78,-1.755,140.00,4.205,0
0.0640,28.41,-1.412,291.01,0.571,1
0.1610,3.14,-1.720,125.53,0.074,0
0.7456,38.58,-1.002,635.60,4.460,1
0.9752,27.82,-1.033,100.53,4.246,0
0.7496,9.75,-1.975,2068.20,4.391,1
0.5929,34.94,-1.901,112.87,4.300,0
0.5955,0.68,-1.966,113.42,2.407,0
0.1839,41.82,-1.885,434.86,0.463,1
0.4999,6.73,-1.658,1986.80,4.858,1
0.7005,1.00,-1.831,171.88,2.531,0
0.0327,4.37,-1.455,144.63,3.285,0
0.3043,33.03,-1.612,100.56,4.759,0
0.9144,17.21,-1.828,1085.10,4.027,1
0.7399,36.59,-1.310,107.55,2.940,0
0.3014,28.73,-1.495,151.40,0.764,0
0.1072,26.48,-1.901,139.75,4.992,0
0.2492,41.63,-1.615,103.74,0.514,0
0.9682,4.35,-1.596,288.94,0.038,1
0.2497,26.82,-1.187,113.52,1.300,0
0.6273,38.61,-1.945,159.60,2.240,0
0.7132,29.99,-1.377,307.13,4.433,1
0.8727,21.57,-1.656,167.94,4.895,0
0.9004,32.87,-1.414,110.95,4.218,0
0.2096,18.37,-1.415,167.21,3.710,0
0.2921,3.02,-1.953,503.05,4.793,1
0.3112,40.54,-1.824,915.52,3.811,1
0.3915,23.95,-1.765,108.04,4.893,0
0.8471,41.54,-1.006,217.70,4.210,1
0.9474,6.73,-1.596,677.58,4.859,1
0.2001,13.62,-1.437,174.92,1.882,0
0.0299,41.47,-1.115,319.43,2.171,1
0.6755,9.39,-1.648,100.11,1.802,0
0.0275,8.13,-1.472,212.89,1.979,1
0.3548,15.98,-1.659,338.58,2.544,1
0.7045,10.74,-1.030,115.24,2.273,0
0.5950,40.04,-1.236,144.36,1.115,0
0.9902,38.98,-1.904,178.75,0.827,0
0.5749,30.52,-1.353,352.58,1.504,1
0.1864,3.43,-1.686,261.23,1.417,1
0.1227,7.21,-1.986,283.62,0.798,1
0.0872,2.04,-1.948,103.10,2.824,0
0.0953,30.85,-1.490,2812.21,3.411,1
0.9060,35.50,-1.164,109.44,3.321,0
0.7425,27.74,-1.279,324.90,4.770,1
0.4882,15.45,-1.644,165.68,4.757,0
0.0755,9.04,-1.168,1161.85,2.259,1
0.6453,12.28,-1.923,339.44,0.548,1
0.2176,22.96,-1.002,227.88,0.253,1
0.4336,21.62,-1.125,112.68,1.249,0
0.8923,3.92,-1.849,100.51,1.788,0
0.2038,0.73,-1.886,207.16,0.397,0
0.5572,17.90,-1.112,273.08,4.052,1
0.3952,26.36,-1.937,132.29,3.790,0
0.6123,18.46,-1.971,100.12,0.076,0
0.5109,10.67,-1.927,237.93,1.655,1
0.5894,29.19,-1.240,274.30,2.166,1
0.9003,19.69,-1.248,132.93,3.494,0
0.1762,21.01,-1.562,121.68,3.125,0
0.8384,11.81,-1.634,426.97,3.077,1
0.3782,22.93,-1.761,830.43,1.647,1
0.6228,11.62,-1.181,169.93,0.614,0
0.5031,39.71,-1.959,484.41,0.458,1
0.7438,1.68,-1.012,131.40,2.905,0
0.0500,28.92,-1.845,357.22,2.535,1
0.5873,26.38,-1.293,1788.63,1.124,1
0.9377,17.58,-1.143,176.50,1.691,0
0.1201,17.26,-1.309,172.21,1.051,0
0.9421,9.07,-1.523,118.38,1.828,0
0.8436,23.36,-1.231,372.98,4.331,1
0.2056,25.44,-1.627,125.63,1.563,0
0.2637,40.11,-1.376,103.24,1.890,0
0.3715,8.66,-1.808,115.71,0.697,0
0.7686,7.53,-1.786,119.93,0.592,0
0.3149,19.94,-1.175,149.67,2.144,0
0.1843,34.93,-1.931,228.67,0.689,1
0.7386,24.65,-1.400,182.83,0.575,0
0.2324,5.69,-1.033,141.14,4.683,0
0.6511,1.23,-1.970,220.21,4.816,1
0.4750,1.27,-1.762,121.21,0.840,0
0.1251,21.04,-1.432,115.45,3.340,0
0.2248,8.12,-1.880,652.47,3.259,1
0.8458,38.44,-1.177,281.38,1.132,1
0.9371,0.83,-1.294,467.61,1.992,1
0.0223,38.78,-1.154,102.92,0.517,0
0.1797,21.05,-1.233,226.55,4.170,1
0.8698,20.19,-1.071,1030.78,0.865,1
0.8128,17.19,-1.063,322.82,1.067,1
0.3372,23.32,-1.285,426.00,1.336,1
0.1594,3.60,-1.075,143.47,1.065,0
0.2012,18.34,-1.199,178.07,2.381,0
0.9138,9.98,-1.451,331.20,3.942,1
0.3623,3.65,-1.182,180.51,4.505,0
0.2628,15.19,-1.056,191.12,3.877,0
0.8479,4.14,-1.205,152.43,4.978,0
0.1579,2.98,-1.595,157.86,0.262,0
0.9647,32.10,-1.724,160.22,3.790,0
0.1087,26.08,-1.750,113.03,4.269,0
0.4658,12.53,-1.150,143.08,4.984,0
0.0236,6.94,-1.640,177.90,2.454,0
0.8575,34.56,-1.144,424.38,2.799,1
0.0105,29.07,-1.457,2253.93,0.052,1
0.8108,18.62,-1.321,203.65,2.211,1
0.2164,24.23,-1.498,115.38,2.498,0
0.4439,31.68,-1.793,322.61,4.945,1
0.5072,9.19,-1.395,446.72,3.940,1
0.2817,36.95,-1.591,112.22,0.840,0
0.4027,10.47,-1.964,177.20,1.459,0
0.3954,23.86,-1.016,331.46,0.165,1
0.2457,12.67,-1.349,1773.64,4.728,1
0.3708,27.92,-1.532,648.77,3.919,1
0.2141,33.02,-1.478,2323.45,2.060,1
0.8175,7.26,-1.052,125.00,0.847,0
0.8165,23.66,-1.199,120.45,3.110,0
0.4241,3.79,-1.504,195.23,3.451,0
0.8482,34.98,-1.937,170.70,3.825,0
0.5855,31.63,-1.015,153.96,0.386,0
0.0415,2.09,-1.413,101.56,4.961,0
0.2323,34.45,-1.967,209.48,3.459,1
0.5014,30.67,-1.860,115.58,3.456,0
0.1933,23.47,-1.638,147.95,3.899,0
0.3794,32.40,-1.411,321.19,1.785,1
0.6216,12.31,-1.272,780.26,1.542,1
0.5563,16.09,-1.724,161.27,0.112,0
0.2440,34.56,-1.577,668.73,1.971,1
0.5754,3.84,-1.780,118.80,1.470,0
0.3958,5.54,-1.128,485.96,0.147,1
0.9171,3.59,-1.665,254.41,1.237,1
0.5379,26.60,-1.637,221.94,4.716,1
0.4087,26.20,-1.597,221.12,2.223,1
0.6913,27.43,-1.875,527.06,2.202,1
0.1362,16.17,-1.668,110.94,4.414,0
0.5604,18.85,-1.312,12897.62,0.059,1
0.4177,32.78,-1.606,123.51,3.723,0
0.0520,9.04,-1.610,154.01,1.822,0
0.0088,39.48,-1.175,291.59,4.472,1
0.0604,25.70,-1.552,210.02,1.913,1
0.7709,25.59,-1.728,252.12,2.166,1
0.3023,2.87,-1.038,1348.34,4.502,1
0.1240,29.98,-1.446,143.25,2.755,0
0.3236,27.38,-1.629,343.91,0.817,1
0.0385,4.65,-1.321,22327.59,4.791,1
0.6067,23.79,-1.806,1315.08,2.581,1
0.4577,33.25,-1.198,114.13,2.003,0
0.6887,16.10,-1.440,531.21,1.727,1
0.4753,33.29,-1.726,379.19,4.947,1
0.9352,4.08,-1.835,309.55,0.812,1
0.4673,23.41,-1.938,263.65,0.792,1
0.8378,34.21,-1.465,4364.53,0.820,1
0.5684,34.42,-1.079,202.73,0.502,1
0.5292,35.38,-1.971,122.06,3.527,0
0.3048,40.79,-1.003,14796.33,0.842,1
0.3940,27.61,-1.026,451.98,0.614,1
0.0278,31.63,-1.880,254.61,1.643,1
0.8543,22.56,-1.995,573.85,4.251,1
0.7054,8.45,-1.657,12576.30,3.804,1
0.4059,33.49,-1.294,193.83,0.215,0
0.0985,22.67,-1.687,114.04,3.707,0
0.9646,30.18,-1.762,311.42,0.608,1
0.8267,39.10,-1.640,15214.38,1.316,1
0.3654,17.75,-1.847,556.12,0.218,1
0.0612,4.32,-1.294,152.35,1.712,0
0.1580,23.98,-1.897,135.95,2.000,0
0.8152,10.17,-1.321,103.60,3.217,0
